"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","BS","LUI","RD","BD","LS","GBS","TS","ES","LUM"
1180,"Kedzie-Brown","Brown Line",1154084.66231414,1930852.94827109,1,7.02330837919917,5,31,14.92710687,0.464468809,0.935483871,0.064516129,0,0,0.345117315
1190,"Jarvis","Red Line",1164754.77227608,1949075.67852806,1,6.73299097642412,12,21,14.02729914,0.590600982,0.80952381,0.095238095,0.047619048,0.047619048,0.494090419
1200,"Argyle","Red Line",1167746.82808687,1933638.97732968,1,7.71878483666917,11,104,13.26913543,0.839853158,0.884615385,0.067307692,0.019230769,0,0.337844513
1210,"Wellington","Brown, Purple (Express)",1169286.3350323,1920014.04624499,2,7.37069726873251,4,22,14.94599051,0.896957012,0.772727273,0.045454545,0,0.090909091,0.559559712
1220,"Fullerton","Red, Brown, Purple (Express)",1169427.09509643,1916013.32534527,3,8.83569996925611,11,76,15.53120323,0.491446791,0.552631579,0.092105263,0.092105263,0.263157895,0.806734398
1230,"47th-Dan Ryan","Red Line",1175712.49286229,1874259.92345038,1,7.14763640371088,13,9,23.09660004,0.102658626,0.666666667,0.111111111,0.222222222,0,0.772506886
1240,"Addison-O'Hare","Blue Line",1151344.51459959,1924006.59972071,1,7.27529723696664,8,10,20.21611257,0.250142805,0.8,0,0.1,0.1,0.581671866
1270,"43rd","Green Line",1178962.66758531,1876518.81702049,1,6.1694548420903,16,7,15.47987695,0.295990178,0.571428571,0.142857143,0,0.285714286,0.86991553
1280,"Jefferson Park","Blue Line",1139918.57154895,1932409.02840054,1,8.19713267992114,25,59,17.33727273,0.272023594,0.525423729,0.288135593,0.13559322,0.016949153,0.715426657
1290,"Kimball","Brown Line",1152910.87594505,1931513.3373917,1,7.74219264532289,15,29,13.34416841,0.442659237,0.827586207,0.103448276,0,0.034482759,0.449783816
1300,"Loyola","Red Line",1166979.64523815,1943698.46533905,1,7.8785148851993,13,89,12.9454814,0.802628287,0.471910112,0.134831461,0.123595506,0.258426966,0.797224509
1310,"Paulina","Brown Line",1164471.22974782,1922773.86704756,1,7.29459573237857,4,37,17.22464145,0.458421906,0.783783784,0.135135135,0.027027027,0.054054054,0.517009259
1320,"Belmont-North Main","Red, Brown, Purple (Express)",1169244.56018426,1921368.70147826,3,8.68531771351484,17,109,15.49574917,0.689010252,0.853211009,0.04587156,0.073394495,0,0.409292633
1330,"Montrose-O'Hare","Blue Line",1144639.34672135,1929107.50647746,1,7.10362838815265,12,15,20.12943221,0.260998603,1,0,0,0,0
1340,"LaSalle","Blue Line",1175328.49516593,1898027.79675252,1,7.37574462602092,4,23,23.76739581,2.540829739,0.434782609,0.391304348,0.173913043,0,0.940725014
1360,"California-Lake","Green Line (Lake)",1157735.61553354,1901043.52283533,1,6.44775944350853,17,16,14.12481676,0.199701897,0.625,0.1875,0.0625,0.125,0.750807236
1380,"Bryn Mawr","Red Line",1167633.60312676,1937300.91346109,1,7.62419380387045,18,24,13.29868392,1.220154576,0.75,0.041666667,0.083333333,0.041666667,0.555939732
1400,"Roosevelt","Red, Orange, Green",1176529.51123105,1895049.38830174,3,8.69760966672041,18,21,14.50364203,0.756213308,0.666666667,0.095238095,0,0.047619048,0.688945166
1410,"Chicago/Milwaukee","Blue Line",1168871.48498392,1905449.33352743,1,7.61936816895575,12,28,24.59799452,0.294238882,0.607142857,0.107142857,0.071428571,0.142857143,0.743904266
1420,"Addison-North Main","Red Line",1169155.59813618,1924165.78538486,1,8.43828239191249,14,105,14.15722668,0.606690674,0.80952381,0.076190476,0.085714286,0.00952381,0.433417403
1430,"87th","Red Line",1177647.63808009,1846956.57340895,1,7.39428821017908,17,35,13.33517547,0.199587895,0.971428571,0.028571429,0,0,0.187176257
1440,"Addison-Brown","Brown Line",1163413.93822683,1923975.42941668,1,6.9923090634001,16,23,15.79454085,0.404442261,0.826086957,0,0,0.173913043,0.666578358
