"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","LUI","BS","BD","RD","LS","GBS","TS","ES","LUM"
740,"Western-Cermak","Pink",1160828.02104042,1890198.73280923,1,6.61855571585429,62,21,0.331918434,11.11395728,0.693548387,0.225806452,0,0.064516129,0.601030789
750,"Harlem-O'Hare","Blue Line (O'Hare)",1126838.69876877,1936585.06680443,1,7.28187135589375,28,20,0.169582859,18.63155777,0.678571429,0.214285714,0,0.107142857,0.757806405
760,"Granville","Red Line",1167506.03909464,1941002.51448854,1,7.5590811914044,54,12,1.295951776,12.3385111,0.611111111,0.018518519,0.111111111,0.185185185,0.698412727
780,"Central Park","Pink",1152737.52861689,1889991.51591303,1,6.44927403101098,41,39,0.359393516,16.60720323,0.756097561,0.048780488,0.073170732,0.12195122,0.581890471
790,"Monroe/Dearborn","Blue Line",1175951.62118251,1899904.51841827,1,8.05645909445269,50,4,15.12163649,14.91689965,0.6,0.2,0.18,0,0.732374857
800,"Sedgwick","Brown, Purple (Express)",1173161.40626791,1910707.27350033,2,7.72053128523285,132,34,1.029200329,15.91355861,0.803030303,0.068181818,0.053030303,0.037878788,0.474071675
810,"Medical Center","Blue Line",1163828.91499522,1897961.33198446,1,7.29890666813712,42,40,0.604709065,16.90656351,0.452380952,0.071428571,0.166666667,0.19047619,0.879305116
830,"18th","Pink",1165182.26334848,1891511.43450645,1,7.02053409324981,114,31,0.350777133,14.52593643,0.657894737,0.078947368,0.175438596,0.061403509,0.651355986
850,"Library","Brown, Orange, Pink, Purple (Express)",1176281.20684682,1898524.19201698,4,7.78001954107986,27,5,4.203915696,19.9317072,0.666666667,0.037037037,0.148148148,0.148148148,0.691172454
870,"Francisco","Brown Line",1156039.37233196,1930887.06155112,1,6.71768613997251,23,10,0.380986805,14.41452378,0.739130435,0.086956522,0.086956522,0.043478261,0.572145506
880,"Thorndale","Red Line",1167550.17426268,1939762.06751139,1,7.26199864157066,28,10,1.486975553,12.66957179,0.75,0.107142857,0.035714286,0.107142857,0.586741017
910,"63rd-Dan Ryan","Red Line",1175808.13267038,1863399.65745627,1,7.05976922383476,19,34,0.2034659,18.77869359,0.684210526,0.052631579,0,0.210526316,0.647497537
